Description,Co-ordinates,lat,lon,region,distance_from_cbd,has_leaf_type,has_stainless_steel,has_historic,has_bottle_refill,has_dog_bowl,has_accessible,has_park_location,has_street_location,feature_count,feature_diversity,description_length,location_name
Drinking Fountain - Stainless Steel Drinking Fountain - Old Docklands Type,"-37.81337112781817, 144.94357125504956",-37.81337112781817,144.94357125504956,North,1.7156949776670818,0,1,0,0,0,0,0,0,1,1,74,Old Docklands Type
Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type,"-37.810438177722986, 144.96409803572945",-37.810438177722986,144.96409803572945,North,0.3623455606456424,1,1,0,0,0,0,0,0,2,2,65,Leaf Type
Drinking fountain - unspecified type - Alexandra Park,"-37.819571118805214, 144.97182464875007",-37.819571118805214,144.97182464875007,North,1.013996151472101,0,0,0,0,0,0,1,0,1,1,53,Alexandra Park
Drinking Fountain - Treated Timber Drinking Fountain - JJ Holland Park,"-37.798924491881245, 144.92595592847908",-37.798924491881245,144.92595592847908,North,3.6485188165197893,0,0,0,0,0,0,1,0,1,1,70,JJ Holland Park
Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type - Bottle Refill Tap,"-37.81027785022815, 144.9610923413044",-37.81027785022815,144.9610923413044,North,0.4093485124936086,1,1,0,1,0,0,0,0,3,3,85,Bottle Refill Tap
Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type - Bottle Refill Tap,"-37.82842091627398, 144.98460191449672",-37.82842091627398,144.98460191449672,East,2.5065767858864705,1,1,0,1,0,0,0,0,3,3,85,Bottle Refill Tap
Drinking Fountain - Leaf Type - Dog Bowl  - Royal Park,"-37.795118666338084, 144.95091878885694",-37.79511866633808,144.95091878885694,North,2.3169945131794427,1,0,0,0,1,0,1,0,3,3,54,Royal Park
Drinking fountain - Historic or Heritage Drinking Fountains - JJ Holland Park,"-37.79745516285821, 144.92349296059965",-37.79745516285821,144.92349296059965,North,3.91546693803298,0,0,1,0,0,0,1,0,2,2,77,JJ Holland Park
Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type - Bottle Refill Tap,"-37.81152641068227, 144.9728037168352",-37.81152641068227,144.9728037168352,North,0.8830684749720669,1,1,0,1,0,0,0,0,3,3,85,Bottle Refill Tap
Drinking Fountain - Duke & Duchess of York Memorial Drinking Fountain,"-37.80663190787703, 144.95991334440367",-37.80663190787703,144.95991334440367,North,0.8238384981896247,0,0,0,0,0,0,0,0,0,0,69,Duke & Duchess of York Memorial Drinking Fountain
Drinking Fountain - Leaf Type - Dog Bowl  - Newmarket Reserve,"-37.78784948378831, 144.92456233354102",-37.78784948378831,144.92456233354102,North,4.4343190137526,1,0,0,0,1,0,1,0,3,3,61,Newmarket Reserve
Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type - Bottle Refill Tap,"-37.80899368753833, 144.9728686722591",-37.80899368753833,144.9728686722591,North,0.9993895911298851,1,1,0,1,0,0,0,0,3,3,85,Bottle Refill Tap
Drinking Fountain - Leaf Type - Dog Bowl - Fawkner Park,"-37.843405472059246, 144.9823703451879",-37.843405472059246,144.9823703451879,South,3.7213526912737387,1,0,0,0,1,0,1,0,3,3,55,Fawkner Park
Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type - Bottle Refill Tap,"-37.81437973339851, 144.97601583515225",-37.81437973339851,144.97601583515225,North,1.137894156582562,1,1,0,1,0,0,0,0,3,3,85,Bottle Refill Tap
Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type - Bottle Refill Tap,"-37.81818027452629, 144.97128244641144",-37.81818027452629,144.97128244641144,North,0.8809160713833636,1,1,0,1,0,0,0,0,3,3,85,Bottle Refill Tap
Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type - Bottle Refill Tap,"-37.812710697465654, 144.96535589295792",-37.81271069746565,144.96535589295792,North,0.22147203851695674,1,1,0,1,0,0,0,0,3,3,85,Bottle Refill Tap
Drinking Fountain - Drinking Fountain - Type 1,"-37.81956008903184, 144.96060041327848",-37.81956008903184,144.96060041327848,North,0.6981569480082167,0,0,0,0,0,0,0,0,0,0,46,Type 1
Drinking Fountain - Stainless Steel Drinking Fountain - Old Docklands Type,"-37.815397268275994, 144.94056198429413",-37.815397268276,144.9405619842941,North,1.9898898767978586,0,1,0,0,0,0,0,0,1,1,74,Old Docklands Type
Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type,"-37.81884561014748, 144.94837757274016",-37.81884561014748,144.94837757274016,North,1.4186993742413396,1,1,0,0,0,0,0,0,2,2,65,Leaf Type
Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type,"-37.82000241423202, 144.9437625580217",-37.82000241423202,144.9437625580217,West,1.8417792607644878,1,1,0,0,0,0,0,0,2,2,65,Leaf Type
Drinking Fountain - Drinking Fountain - Type 2 - Birrarung Marr,"-37.818466012455424, 144.97388211503446",-37.818466012455424,144.97388211503446,North,1.0907829290113031,0,0,0,0,0,0,0,0,0,0,63,Birrarung Marr
Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type - Kings Domain South,"-37.8334339089649, 144.98151523466336",-37.8334339089649,144.98151523466336,South,2.7349827134742513,1,1,0,0,0,0,0,0,2,2,86,Kings Domain South
